"fecha","total","agro","combustibles","manufacturas","otros","share_total","share_nocom","share_totalindex","share_nocomindex","t","share_totalfitted","share_nocomfitted"
"6-2017",2873676.22442,601226.878249999,1441308.90899,663638.366019999,167502.07116,20.9218725874849,41.9743505575251,107.555140989392,117.758120579618,138,85.6719111318483,118.839771564887
"7-2017",3102996.60913,630958.814399999,1665159.23951,678997.642540002,127880.91268,20.3338544600248,43.8824882237379,104.532258007057,123.111358983448,139,85.6636559502313,119.061557065415
"8-2017",3191597.65623,629978.997819999,1695026.77498,732924.975409999,133666.90802,19.7386721534364,42.0948319730646,101.472545420059,118.096128550444,140,85.6554007686143,119.283342565943
"9-2017",3371251.84005,622067.995260001,1926695.43642,692336.016840003,130152.39153,18.4521366179151,43.062908010848,94.8587248677995,120.812044658099,141,85.6471455869972,119.505128066472
"10-2017",3269568.34832,584370.996899998,1829730.13088,704861.374759999,150605.84578,17.8730319921364,40.5858790120877,91.8816644057023,113.862794088624,142,85.6388904053802,119.726913567
"11-2017",3102651.07609001,569718.71877,1676572.23172,718174.849490005,138185.27611,18.3623199901668,39.950015458064,94.3969956406347,112.078892823391,143,85.6306352237632,119.948699067528
"12-2017",3980906.20756,553023.312210001,2620060.51082,664692.590300002,143129.79423,13.8918950453988,40.638208544496,71.4154397016777,114.009603444942,144,85.6223800421462,120.170484568056
"1-2018",3326640.43193,682148.842420002,1987850.91852,595727.791039999,60912.87995,20.5056379364764,50.9526580233301,105.41536232538,142.946565406422,145,85.6141248605292,120.392270068585
"2-2018",3000869.06065,617659.712400001,1634202.06119,620610.487700002,128396.79936,20.5826945433672,45.1946020972228,105.811494850499,126.792465699234,146,85.6058696789122,120.614055569113
"3-2018",3365951.4285,635807.745989999,1934093.54366,678867.088900002,117183.04995,18.889391587963,44.404389061352,97.1065647662199,124.5755403454,147,85.5976144972952,120.835841069641
"4-2018",3784760.03286,673927.088769999,2237302.94129,751507.31422,122022.68858,17.8063360138777,43.5506155512367,91.5387937895544,122.180297474065,148,85.5893593156782,121.05762657017
"5-2018",3680999.17299,692528.009799999,2105633.37198,754599.014869997,128238.77634,18.8135877584964,43.9598224968452,96.716872517989,123.328318591794,149,85.5811041340611,121.279412070698
"6-2018",3334870.16134,591486.265380001,1908205.38615,714617.231660003,120561.27815,17.7364106176276,41.4593726337169,91.1793213847315,116.313361300626,150,85.5728489524441,121.501197571226
"7-2018",3632905.91602,574750.04602,2225414.26188,705461.002709999,127280.60541,15.8206697147187,40.8350589027955,81.3308825296568,114.56186281098,151,85.5645937708271,121.722983071754
"8-2018",3611236.28509,628867.94057,2118523.88519,730207.305929998,133637.1534,17.4142008698367,42.1292099276545,89.52290584607,118.192575148619,152,85.5563385892101,121.944768572283
